"user_id","age","gender","married","has_children","total_sessions","total_flights_booked","total_hotels_booked","total_cancellations","average_flight_discount","discount_flight_proportion","avg_hotel_discount","avg_base_fare_usd","scaled_ads_per_km","total_checked_bags"
"23557","64","F","1","0","8","0","2","0","","0","0.25000000000000000000","","",""
"94883","51","F","1","0","8","2","2","0","","0","0.12500000000000000000","432.0450000000000000","","1"
"101486","50","F","1","1","8","1","2","0","0.07500000000000000000","0.25","0.00000000000000000000","189.9100000000000000","0.00015065056945185544","0"
"101961","42","F","1","0","8","5","5","0","0.15000000000000000000","0.25","0.12500000000000000000","248.5320000000000000","0.000043905573561462004","2"
"106907","44","F","1","1","8","2","2","1","","0.125","0.12500000000000000000","13902.0600000000000000","","10"
"118043","51","F","0","1","8","3","4","0","0.20000000000000000000","0.25","0.37500000000000000000","779.7633333333333333","0.00005322337030757761","3"
"120851","50","F","1","1","8","1","1","0","0.22500000000000000000","0.25","0.00000000000000000000","384.6800000000000000","0.00019913296020533829","0"
"125845","39","F","1","0","9","3","3","0","0.15000000000000000000","0.1111111111111111","0.11111111111111111111","584.4400000000000000","0.000017473236330365742","2"
"133058","18","F","0","0","8","1","0","0","","0","0.12500000000000000000","423.5100000000000000","","0"
"149058","50","F","0","1","8","5","5","0","0.05000000000000000000","0.125","0.00000000000000000000","385.7320000000000000","0.0000051023739503766825","2"
"152583","37","F","0","0","8","1","1","0","0.15000000000000000000","0.125","0.12500000000000000000","367.8300000000000000","0.00006620422878581351","2"
"153982","45","F","0","1","8","3","3","0","","0","0.12500000000000000000","218.9566666666666667","","1"
"160754","45","F","1","1","8","1","1","0","","0","0.00000000000000000000","93.6200000000000000","","1"
"164522","47","F","1","0","8","1","1","0","0.05000000000000000000","0.25","0.12500000000000000000","328.3200000000000000","0.00005532055068071779","1"
"167852","17","F","0","0","8","0","0","0","0.10000000000000000000","0.125","0.25000000000000000000","","",""
"171470","23","F","0","0","8","3","2","2","0.10000000000000000000","0.375","0.25000000000000000000","3679.3566666666666667","0.000001893459254350049","1"
"174997","31","F","0","0","8","3","3","1","","0.125","0.37500000000000000000","1075.4966666666666667","","1"
"175032","28","F","0","0","9","2","3","0","0.30000000000000000000","0.1111111111111111","0.22222222222222222222","554.6250000000000000","0.00010756203140810562","1"
"181157","53","F","1","0","8","3","3","0","0.17500000000000000000","0.25","0.12500000000000000000","346.4766666666666667","0.0000961440084790907","3"
"182191","18","F","0","1","8","1","1","1","","0.125","0.25000000000000000000","537.6700000000000000","","1"
"187212","54","F","1","1","8","3","3","0","0.39999999999999990000","0.125","0.12500000000000000000","414.1900000000000000","0.000054078377898356","2"
"189676","35","F","0","1","8","1","2","0","0.15000000000000000000","0.125","0.00000000000000000000","1244.3100000000000000","0.00006381522797850758","2"
"190866","36","F","0","0","9","5","5","0","","0","0.11111111111111111111","416.2000000000000000","","2"
"195192","27","F","0","0","8","1","1","0","0.10000000000000000000","0.125","0.12500000000000000000","394.2900000000000000","0.00008579936834886718","0"
"204943","40","M","0","0","8","7","7","1","0.15000000000000000000","0.375","0.12500000000000000000","475.9657142857142857","0.00002336692983799978","9"
"204997","38","F","1","0","8","5","4","2","0.25000000000000000000","0.375","0.50000000000000000000","991.1260000000000000","0.000015719181551555514","3"
"205044","40","F","1","1","9","3","3","0","0.05000000000000000000","0.1111111111111111","0.00000000000000000000","916.1166666666666667","0.000006953602901134283","1"
"206011","39","F","0","1","8","4","3","0","0.05000000000000000000","0.125","0.25000000000000000000","261.6475000000000000","0.000008608451699458513","1"
"216796","22","F","0","0","8","2","2","1","0.16666666666666666667","0.5","0.25000000000000000000","2500.8700000000000000","0.00003335606951401804","4"
"217114","19","O","1","1","9","0","0","0","0.05000000000000000000","0.1111111111111111","0.33333333333333333333","","",""
"217136","38","F","0","1","8","1","2","0","0.17500000000000000000","0.25","0.00000000000000000000","539.5700000000000000","0.00011307318415157624","0"
"220725","40","F","0","0","9","5","4","1","0.15000000000000000000","0.2222222222222222","0.22222222222222222222","484.5840000000000000","0.000010852014675785723","1"
